This is file 1
(Client1) writes line 0
(Client1) writes line 1
(Client1) writes line 2
(Client1) writes line 3
(Client1) writes line 4
(Client1) writes line 5
(Client1) writes line 6
(Client0) writes line 0
(Client1) writes line 7
(Client0) writes line 1
(Client0) writes line 2
(Client1) writes line 8
(Client0) writes line 3
(Client1) writes line 9
(Client0) writes line 4
(Client1) writes line 10
(Client0) writes line 5
(Client0) writes line 6
(Client0) writes line 7
(Client1) writes line 11
(Client0) writes line 8
(Client0) writes line 9
(Client1) writes line 12
(Client0) writes line 10
(Client1) writes line 13
(Client0) writes line 11
(Client1) writes line 14
(Client0) writes line 12
(Client1) writes line 15
(Client0) writes line 13
(Client0) writes line 14
(Client1) writes line 16
(Client0) writes line 15
(Client1) writes line 17
(Client1) writes line 18
(Client0) writes line 16
(Client1) writes line 19
(Client0) writes line 17
(Client0) writes line 18
(Client0) writes line 19
